id,instruction,context,dolly_category,tag,tag_reason
11,How many series did Dance Mums air?,"Dance Mums with Jennifer Ellison is a British reality television series that made its debut on Lifetime on 20 October 2014. Created by Shiver Productions, it is set in Liverpool, England, at Jelli Studios and follows the early careers of children in dance and show business, as well as the participation of their mothers. It is a spin-off of the American TV series Dance Moms.

The second series began airing on 12 October 2015, but the show was not commissioned for a third series.",,closeqa,问题询问具体数量，答案可从文本直接获取
12,"Given a reference text about the blackbuck, tell me how big the males are.","The blackbuck (Antilope cervicapra), also known as the Indian antelope, is an antelope native to India and Nepal. It inhabits grassy plains and lightly forested areas with perennial water sources. It stands up to 74 to 84 cm (29 to 33 in) high at the shoulder. Males weigh 20–57 kg (44–126 lb), with an average of 38 kg (84 lb). Females are lighter, weighing 20–33 kg (44–73 lb) or 27 kg (60 lb) on average. Males have 35–75 cm (14–30 in) long corkscrew horns, and females occasionally develop horns, as well. The white fur on the chin and around the eyes is in sharp contrast with the black stripes on the face. Both sexes’ coats feature a two-tone colouration; in males, the majority of the body is dark brown to black, with white circles around the eyes, white ears and tail, and the belly, lower jaw, and inner legs also white. Females and juveniles are yellowish-fawn to tan and display the same white areas, only with more of a beige tone than the males. Females also feature a more pronounced horizontal white side-stripe, starting around the shoulder and ending at the rump. The blackbuck is the sole living member of the genus Antilope and was scientifically described by Carl Linnaeus in 1758. Two subspecies are recognized.",,closeqa,问题询问特定数值信息（雄性黑羚的体型大小），答案可以直接从提供的文本中找到明确数值。
13,"Given a reference text about the Build Back Better Plan, what are the 3 parts that make up the plan?","The Build Back Better Plan or Build Back Better agenda was a legislative framework proposed by U.S. president Joe Biden between 2020 and 2021. Generally viewed as ambitious in size and scope, it sought the largest nationwide public investment in social, infrastructural, and environmental programs since the 1930s Great Depression-era policies of the New Deal.

The Build Back Better plan was divided into three parts:

American Rescue Plan (ARP), a COVID-19 pandemic-relief bill;
American Jobs Plan (AJP), a proposal to address long-neglected infrastructure needs and reduce America's contributions to destructive effects of climate change; and
American Families Plan (AFP), a proposal to fund a variety of social policy initiatives, some of which (e.g., paid family leave) had never before been enacted nationally in the U.S.
The first part was passed as the $1.9 trillion American Rescue Plan Act of 2021, and was signed into law in March 2021. The other two parts were reworked into different bills over the course of extensive negotiations. Aspects of the AJP's infrastructure goals were diverted into the Infrastructure Investment and Jobs Act, which was signed into law in November 2021. Other AJP priorities (e.g., climate change remediation, home health care reform, etc.) were then merged with the AFP to form the Build Back Better Act. The bill passed the Democratic-controlled House of Representatives but struggled to gain the support of Democrats Joe Manchin of West Virginia and Kyrsten Sinema of Arizona in the evenly divided Senate, with unified Republican opposition. Manchin and Sinema negotiated the reduction of Build Back Better Act's size, scope, and cost significantly with Biden and Democratic congressional leaders, but Manchin, widely viewed as the key swing vote needed to pass the bill in the Senate, ultimately rejected it over the procedural tactics used. Continued negotiations between Manchin and Senate Majority Leader Chuck Schumer eventually resulted in the Inflation Reduction Act of 2022, which was signed into law in August 2022, and incorporated some of the Build Back Better Act's climate change, healthcare, and tax reform proposals while excluding its social safety net proposals.",,closeqa,问题要求从给定文本中提取明确的、具体的三部分构成，答案唯一且可直接找到
14,How long does it take to recover from a sinus infection?,"Generally sinusitis starts off as a common viral infection like common cold. This infection generally subsides within 5 to 7 days. During this time the nasal structures can swell and facilitate the stagnation of fluids in sinuses that leads to acute sinusitis which lasts from 6th day of the infection to 15th day. From the 15th day to 45th day of the infection comes the subacute stage followed by chronic stage. Whenever a chronic stage patient's immunity takes a hit the infection moves to ""acute on sinusitis"" stage and moves back to chronic when the immunity is up.",,closeqa,问题询问具体时间长度，答案可从文本中直接提取
15,"Given this paragraph about the Southwestern United States, name the largest cities in that area","The Southwestern United States, also known as the American Southwest or simply the Southwest, is a geographic and cultural region of the United States. Its exact boundaries are not officially defined, but attempts to do so generally include Arizona and New Mexico as the core of the region. Adjacent portions of California, Colorado, Nevada, and Utah are also sometimes included. Oklahoma and Texas may also be included, particularly the trans-pecos ""horn"" portion of the state(i.e. the far western extension of the state of the state south of the New Mexico border, but west and north of the Pecos and Rio Gande Rivers). The largest cities by metropolitan area are Phoenix, Las Vegas, El Paso, Albuquerque, and Tucson. Before 1848, in the historical region of Santa Fe de Nuevo México as well as parts of Alta California and Coahuila y Tejas, settlement was almost non-existent outside of Nuevo México's Pueblos and Spanish or Mexican municipalities. Much of the area had been a part of New Spain and Mexico until the United States acquired the area through the Treaty of Guadalupe Hidalgo in 1848 and the smaller Gadsden Purchase in 1854.",,closeqa,"Asks for a specific list of largest cities from provided text, answer is directly extractable and fixed."
16,"Given a reference text about Richard Brandon Morris, tell me what when and where he was born as well as the different colleges and universities he attended.","Richard Brandon Morris (July 24, 1904 – March 3, 1989) was an American historian best known for his pioneering work in colonial American legal history and the early history of American labor. In later years, he shifted his research interests to the constitutional, diplomatic, and political history of the American Revolution and the making of the United States Constitution.

Background
Richard Brandon Morris was born on July 24, 1904, in New York City. He attended high school at Towsend Harris Hall in New York City. In 1924, he received a BA degree from City College. In 1925, he received an MA from Columbia University, and in 1930 he received a PhD in history at the university with Evarts Boutell Greene as his dissertation advisor. Morris' dissertation, published by Columbia University Press as Studies in the History of American Law, with Special Reference to the Seventeenth and Eighteenth Centuries (1930), still defines the research agenda for historians working on early American law, though at the time it attracted bitter denunciations from law school practitioners of legal historym, including Julius Goebel, Jr. and Karl Llewellyn, both then Columbia Law School faculty members.",,information_extraction,任务是从文本中提取具体的结构化信息（出生时间、地点及教育经历）
17,Why is JDAM so cost effective?,"The Joint Direct Attack Munition (JDAM) is a guidance kit that converts unguided bombs, or ""dumb bombs"", into all-weather precision-guided munitions. JDAM-equipped bombs are guided by an integrated inertial guidance system coupled to a Global Positioning System (GPS) receiver, giving them a published range of up to 15 nautical miles (28 km). JDAM-equipped bombs range from 500 to 2,000 pounds (230 to 910 kg). The JDAM's guidance system was jointly developed by the United States Air Force and United States Navy, hence the ""joint"" in JDAM. When installed on a bomb, the JDAM kit is given a GBU (Guided Bomb Unit) identifier, superseding the Mark 80 or BLU (Bomb, Live Unit) nomenclature of the bomb to which it is attached.

The JDAM is not a stand-alone weapon; rather it is a ""bolt-on"" guidance package that converts unguided gravity bombs into precision-guided munitions (PGMs). The key components of the system consist of a tail section with aerodynamic control surfaces, a (body) strake kit, and a combined inertial guidance system and GPS guidance control unit.

The JDAM was meant to improve upon laser-guided bomb and imaging infrared technology, which can be hindered by bad ground and weather conditions. Laser seekers are now being fitted to some JDAMs.",,open_qa,问题询问原因，需要基于提供的背景信息进行分析和解释
18,During which year Emperor Shapur II learned to play polo?,"The game's English name derives from the Balti language, from its word for 'ball', polo. It is cognate with the Standard Tibetan pulu, also meaning 'ball'.

Although the exact origins of the game are not certain, many scholars suggest it most likely began as a simple game played by Iranic and Turkic equestrian nomads in Central Asia. An archaic variation of polo, regionally referred to as buzkashi or kokpar, is still played in parts of Central Asia. It was developed and formalised in Ancient Iran (Persia) as ""chovgan"" (čowgān), becoming a national sport played extensively by the nobility. Women played as well as men. During the period of the Parthian Empire (247 BC to 224 AD), the sport had great patronage under the kings and noblemen. According to The Oxford Dictionary of Late Antiquity, the Persian ball game was an important pastime in the court of the Sasanian Empire (224–651). It was also part of the royal education for the Sasanian ruling class. Emperor Shapur II learnt to play polo at age seven in 316 AD.",,closeqa,问题询问具体年份，答案可直接从文本中明确获取
19,"Based on this passage, which years did the Patriots win the Super Bowl?","The Patriots hired head coach Bill Belichick, who had served as defensive coordinator under Parcells including during Super Bowl XXXI, in 2000. Their new home field, Gillette Stadium, opened in 2002 to replace the aging Foxboro Stadium. Long–time starting quarterback Drew Bledsoe, who was the franchise's star throughout the 1990s, went down with a sheared blood vessel in his chest in a week two match–up in 2001 against the rival New York Jets. Backup quarterback Tom Brady, drafted by the Patriots in sixth round of the 2000 NFL draft, became the starting quarterback. Brady's successful play led to Bledsoe never getting his job back as a starter, and would serve as the franchise's starting quarterback for the next 18 years. Under Belichick and Brady, the Patriots became one of the most consistently dominant teams in the NFL, with many describing the team as a ""dynasty"". Within the first few seasons of the 21st century, the team won three Super Bowls in four seasons (2001, 2003, and 2004), over the St. Louis Rams, Carolina Panthers, and Philadelphia Eagles, respectively. The Patriots finished the 2007 regular season with a perfect 16–0 record, becoming only the fourth team in league history to go undefeated in the regular season, and the only one since the league expanded its regular season schedule to 16 games. After advancing to Super Bowl XLII, the team's fourth Super Bowl in seven years, the Patriots were upset by the Giants to end their bid for a 19–0 season. With the loss, the Patriots ended the year at 18–1, becoming only one of three teams to go 18–1 along with the 1984 San Francisco 49ers and the 1985 Chicago Bears. However, both the Bears and 49ers lost their only game during the regular season, and both would win their respective Super Bowl.

The Patriots returned to the Super Bowl in 2011 but lost again to the Giants, 21–17. In 2014, the Patriots reached a record-tying eighth Super Bowl, where they defeated the defending champion Seattle Seahawks by a score of 28–24 to win Super Bowl XLIX for their fourth title. After Seattle had driven the ball to New England's 1-yard line with under a minute to go, New England rookie cornerback Malcolm Butler made a critical interception on Seattle's final offensive play that helped to seal the victory. New England became the first team to reach nine Super Bowls in the 2016–17 playoffs and faced the Atlanta Falcons in Super Bowl LI. Losing 28–3 midway through the third quarter, the Patriots scored 25 unanswered points to tie the game in the final seconds of regulation. In the first overtime in Super Bowl history, the Patriots won the coin toss and scored a touchdown to claim their fifth Super Bowl victory. The Patriots extended their record to ten Super Bowl appearances in the 2017–18 playoffs but lost to the Philadelphia Eagles in Super Bowl LII. The Patriots returned to the championship game for a third consecutive season in Super Bowl LIII, where they defeated the Los Angeles Rams 13–3 to win their sixth Super Bowl, tying them with the Pittsburgh Steelers for most Super Bowl victories in NFL history.",,closeqa,问题明确要求根据文本找出爱国者队赢得超级碗的具体年份，答案可直接从文中提取，属于封闭式问答。
20,What does the Obilic Medal commemorate?,"""The Obilić Medal (Serbian: Обилића медаља) or Medal for Bravery """"Miloš Obilić"""" was a medal established by Petar II Petrović-Njegoš as the highest military decoration in Montenegro, based on the cult of national hero Miloš Obilić.

The official name of the medal was the Medal for Bravery """"Miloš Obilić"""" but it was known as Obilić Medal.

It was established in 1847 and granted to soldiers for the acts of great personal courage, or for personal courage demonstrated on the battlefield, prepared for the movement for liberation and revenge of the Kosovo Battle. Another reason for introduction of this medal by Njegoš was his wish to make warfare against the Ottomans more civilized (to replace customary collection and exhibition of body parts of killed Muslim enemies).""",,closeqa,问题询问特定奖章的纪念意义，答案可从提供的文本中直接提取，具有明确性和单一性。
21,"Given this reference text about Cy Young, what type of work did his family do while he was growing up, how many older siblings did he have, and what two states did he live in as a child?","Cy Young was the oldest child born to Nancy (Mottmiller) and McKinzie Young, Jr., and was christened Denton True Young. He was of part German descent. The couple had four more children: Jesse Carlton, Alonzo, Ella, and Anthony. When the couple married, McKinzie's father gave him the 54 acres (220,000 m2) of farm land he owned. Young was born in Gilmore, a tiny farming community located in Washington Township, Tuscarawas County, Ohio. He was raised on one of the local farms and went by the name Dent Young in his early years. Young was also known as ""Farmer Young"" and ""Farmboy Young"". Young stopped his formal education after he completed the sixth grade so he could help out on the family's farm. In 1885, Young moved with his father to Nebraska, and in the summer of 1887, they returned to Gilmore.
https://en.wikipedia.org/wiki/Cy_Young",,information_extraction,从提供的文本中提取特定结构化信息（家庭工作、兄弟姐妹数量、童年居住的两个州）
22,Who is known as The Invincibles in English football?,"In football, ""The Invincibles"" is a nickname used to refer to the Preston North End team of the 1888–89 season, managed by William Sudell, and the Arsenal team of the 2003–04 season managed by Arsène Wenger.  Preston North End earned the nickname after completing an entire season undefeated in league and cup competition (27 games), while Arsenal were undefeated in the league (38 games) in a run that stretched to a record 49 games. The actual nickname of the Preston team was the ""Old Invincibles"" but both versions have been in use.",,closeqa,问题询问特定足球昵称所指的球队，答案明确且固定，可从提供的文本中直接提取。
23,"Given a reference text about Mikel Artetxe Guezuraga, tell me when he turned professional and what his biggest wins are.","Mikel Artetxe Guezuraga (born 24 September 1976) is a Spanish former road bicycle racer, who rode professionally between 1999 and 2007 for the Euskaltel–Euskadi, 3 Molinos Resort and Fuerteventura–Canarias teams.

Career
He turned professional in 1999 with Euskaltel–Euskadi, where he stayed for seven seasons. In his time with Euskaltel–Euskadi, Artetxe took two stages and the overall victory in the GP Jornal de Noticias in 2000, a stage victory in the 2001 Vuelta a Andalucía and a stage victory in the 2002 Troféu Joaquim Agostinho.

At the start of the 2006 season, Artetxe moved a division down to the newly formed 3 Molinos Resort team. Here he had the biggest wins of his career, with a stage win in the Vuelta a Asturias and the sprints classification in the Troféu Joaquim Agostinho. With the rapid demise of 3 Molinos Resort, Artetxe moved to the newly formed Fuerteventura–Canarias team for 2007.",,open_qa,"Asks for specific information from the text, but allows for open-ended retrieval of details (career turning point and major wins)."
24,What is one of Poseidon's many powers?,"The Call to Adventure
The hero begins in a situation of normality from which some information is received that acts as a call to head off into the unknown. According to Campbell, this region is represented by

a distant land, a forest, a kingdom underground, beneath the waves, or above the sky, a secret island, lofty mountaintop, or profound dream state; but it is always a place of strangely fluid and polymorphous beings, unimaginable torments, superhuman deeds, and impossible delight. The hero can go forth of their own volition to accomplish the adventure, as did Theseus when he arrived in his father's city, Athens, and heard the horrible history of the Minotaur; or they may be carried or sent abroad by some benign or malignant agent as was Odysseus, driven about the Mediterranean by the winds of the angered god, Poseidon. The adventure may begin as a mere blunder... or still, again, one may be only casually strolling when some passing phenomenon catches the wandering eye and lures one away from the frequented paths of man. Examples might be multiplied, ad infinitum, from every corner of the world.",,open_qa,问题询问波塞冬的众多能力之一，属于开放式神话知识问答，答案多样且不唯一。
25,Who won the 2000 World Series?,"The 2000 World Series was the championship series of Major League Baseball's (MLB) 2000 season. The 96th edition of the World Series, it was a best-of-seven playoff between crosstown opponents, the two-time defending World Series champions and American League (AL) champion New York Yankees and the National League (NL) champion New York Mets. The Yankees defeated the Mets, four games to one, to win their third consecutive championship and 26th overall. The series was often referred to as the ""Subway Series"", referring to the longstanding matchup between New York baseball teams; it was the first World Series contested between two New York teams since the 1956 World Series and the first since the New York Giants and the Brooklyn Dodgers moved west to California (as the current San Francisco Giants and Los Angeles Dodgers, respectively) in 1958 and the subsequent formation of the Mets in 1962. This World Series that featured teams from the same city or state, was the first of its kind since 1989 between the Oakland Athletics and the San Francisco Giants. Yankees shortstop Derek Jeter was named the World Series Most Valuable Player.",,closeqa,问题询问特定事件的明确结果，答案唯一且可从文本直接提取
26,"Classify the celebrities based on whether they were born in 1990 or 1991.
Emma Watson, Jennifer Lawrence, Ed Sheeran, Charlie Puth",,,classification,要求根据出生年份对名人进行分类
27,"Identify which instrument is string or woodwind: Balaban, Lute",,,classification,分类任务，区分乐器类型
28,"Tell me which of these characters are in Disney or Dreamworks movies: Shrek, Simba, Lightning McQueen, Po.",,,information_extraction,从文本中抽取结构化信息，判断角色所属的电影公司
29,Which is a species of fish? Sneaker or Sole,,,closeqa,问题要求从两个选项中选择一个明确答案，答案可直接确定
30,"Identify which instrument is string or percussion: Pambai, Steel Guitar",,,classification,分类任务，判断乐器属于弦乐或打击乐类别
31,"Classify the cities based on whether they are located in Wallis and Futuna or Guinea.
Mamou, Leava, Mata-Utu, Conakry, Guéckédou",,,classification,任务是对城市进行分类
32,"Classify each of the following as either a television show or a movie: The Wire, The Sopranos, Game of Thrones, Mad Men, Harry Potter, Westworld, Iron Man.",,,classification,要求对给定项目进行类别划分
33,"Tell me whether the following are foods or beverages: coffee, water, corn, tea, rice, beef.",,,classification,要求对列举的物品进行类别判断（食物或饮料）
34,"Identify which instrument is string or percussion: Kouxian, Tres cubano",,,classification,文本要求对乐器进行分类，属于类别判定任务。
35,Is the sun a star or a planet?,,,closeqa,问题有明确的单一答案，可通过科学知识直接判断
